広域_ID,広域_名称,基礎_ID,基礎_名称,人口（男女総数）,人口（男性）,人口（女性）,2015年（平成27年）の人口（組替）（人）,5年間の人口増減数（人）,5年間の人口増減率（％）,人口性比,面積（km2）,人口密度（1km2当たり）,世帯数（世帯）,2015年（平成27年）の世帯数（組替）（世帯）,5年間の世帯増減数（世帯）,5年間の世帯増減率（％）
12,千葉県,12103,千葉市稲毛区,160684.0,80362.0,80322.0,160968.0,-284.0,-0.17643,100.0498,21.22,7572.3,74617.0,71334.0,3283.0,4.60229
12,千葉県,12104,千葉市若葉区,146976.0,72965.0,74011.0,150921.0,-3945.0,-2.61395,98.5867,84.19,1745.8,64627.0,62695.0,1932.0,3.08159
12,千葉県,12105,千葉市緑区,129467.0,63118.0,66349.0,126848.0,2619.0,2.06468,95.1303,66.25,1954.2,50816.0,46792.0,4024.0,8.59976
12,千葉県,12106,千葉市美浜区,148941.0,71756.0,77185.0,148718.0,223.0,0.14995,92.96625,21.2,7025.5,66802.0,63999.0,2803.0,4.37976
12,千葉県,12202,銚子市,58478.0,28249.0,30229.0,64415.0,-5937.0,-9.2168,93.45,84.2,694.5,25515.0,26234.0,-719.0,-2.74072
12,千葉県,12203,市川市,496943.0,251388.0,245555.0,481732.0,15211.0,3.15756,102.37544,57.45,8650.0,242251.0,228845.0,13406.0,5.85811
12,千葉県,12204,船橋市,642972.0,318847.0,324125.0,622890.0,20082.0,3.224,98.37162,85.62,7509.6,289027.0,272432.0,16595.0,6.09143
12,千葉県,12205,館山市,45177.0,21850.0,23327.0,47464.0,-2287.0,-4.81839,93.66828,110.05,410.5,20225.0,20146.0,79.0,0.39214
12,千葉県,12206,木更津市,136224.0,68464.0,67760.0,134141.0,2083.0,1.55284,101.03896,138.95,980.4,58178.0,54920.0,3258.0,5.93227
12,千葉県,12207,松戸市,498293.0,247044.0,251249.0,483480.0,14813.0,3.06383,98.32636,61.38,8118.2,230650.0,215627.0,15023.0,6.96712
12,千葉県,12208,野田市,152674.0,76171.0,76503.0,153583.0,-909.0,-0.59186,99.56603,103.55,1474.4,63578.0,59712.0,3866.0,6.47441
12,千葉県,12210,茂原市,86821.0,42656.0,44165.0,89688.0,-2867.0,-3.19664,96.58327,99.92,868.9,37049.0,36026.0,1023.0,2.83962
12,千葉県,12211,成田市,132998.0,66249.0,66749.0,131190.0,1808.0,1.37815,99.25093,213.84,622.0,59985.0,55462.0,4523.0,8.15513
12,千葉県,12212,佐倉市,168858.0,82450.0,86408.0,172739.0,-3881.0,-2.24674,95.41941,103.69,1628.5,70244.0,68696.0,1548.0,2.25341
12,千葉県,12213,東金市,58248.0,29255.0,28993.0,60652.0,-2404.0,-3.9636,100.90367,89.12,653.6,25353.0,25114.0,239.0,0.95166
12,千葉県,12215,旭市,63788.0,31396.0,32392.0,66586.0,-2798.0,-4.20208,96.92517,130.45,489.0,24172.0,23350.0,822.0,3.52034
12,千葉県,12216,習志野市,176306.0,87890.0,88416.0,167909.0,8397.0,5.00092,99.40509,20.97,8407.5,79184.0,72350.0,6834.0,9.44575
12,千葉県,12217,柏市,426552.0,210721.0,215831.0,413954.0,12598.0,3.04333,97.63241,114.74,3717.6,188045.0,175691.0,12354.0,7.03166
12,千葉県,12218,勝浦市,16938.0,8705.0,8233.0,19248.0,-2310.0,-12.00125,105.73303,93.96,180.3,8197.0,8965.0,-768.0,-8.56665
12,千葉県,12219,市原市,269653.0,138466.0,131187.0,274656.0,-5003.0,-1.82155,105.54857,368.17,732.4,117675.0,113518.0,4157.0,3.66197
12,千葉県,12220,流山市,199960.0,98446.0,101514.0,174373.0,25587.0,14.67372,96.97776,35.32,5661.4,82961.0,70802.0,12159.0,17.17324
12,千葉県,12221,八千代市,199597.0,97916.0,101681.0,193152.0,6445.0,3.33675,96.29724,51.39,3884.0,84857.0,78358.0,6499.0,8.29398
12,千葉県,12222,我孫子市,130590.0,63562.0,67028.0,131606.0,-1016.0,-0.772,94.82903,43.15,3026.4,56265.0,54089.0,2176.0,4.023
12,千葉県,12223,鴨川市,32149.0,15230.0,16919.0,33932.0,-1783.0,-5.25463,90.01714,191.14,168.2,14583.0,14453.0,130.0,0.89947
12,千葉県,12224,鎌ケ谷市,109989.0,53592.0,56397.0,108917.0,1072.0,0.98424,95.02633,21.08,5217.7,47021.0,44101.0,2920.0,6.62117
12,千葉県,12225,君津市,82249.0,41933.0,40316.0,86033.0,-3784.0,-4.39831,104.01081,318.81,258.0,35352.0,34447.0,905.0,2.62722
12,千葉県,12226,富津市,42508.0,21538.0,20970.0,45601.0,-3093.0,-6.78275,102.70863,205.5,206.9,17818.0,17634.0,184.0,1.04344
12,千葉県,12227,浦安市,171424.0,83500.0,87924.0,164024.0,7400.0,4.51153,94.96838,17.3,9908.9,79934.0,74229.0,5705.0,7.68568
12,千葉県,12228,四街道市,93632.0,46355.0,47277.0,89245.0,4387.0,4.91568,98.04979,34.52,2712.4,38301.0,35014.0,3287.0,9.38767
12,千葉県,12229,袖ケ浦市,63906.0,32211.0,31695.0,60952.0,2954.0,4.84644,101.62802,94.93,673.2,25370.0,22652.0,2718.0,11.99894
12,千葉県,12230,八街市,67480.0,34121.0,33359.0,70734.0,-3254.0,-4.60033,102.28424,74.94,900.5,27683.0,27074.0,609.0,2.24939
12,千葉県,12231,印西市,102651.0,50569.0,52082.0,92670.0,9981.0,10.77048,97.09497,123.79,829.2,38200.0,32590.0,5610.0,17.21387
12,千葉県,12232,白井市,62470.0,30927.0,31543.0,61674.0,796.0,1.29066,98.04711,35.48,1760.7,24071.0,22725.0,1346.0,5.92299
12,千葉県,12233,富里市,49762.0,25307.0,24455.0,49636.0,126.0,0.25385,103.48395,53.88,923.6,21713.0,20057.0,1656.0,8.25647
12,千葉県,12234,南房総市,35844.0,17009.0,18835.0,39033.0,-3189.0,-8.17001,90.30528,230.12,155.8,14720.0,15061.0,-341.0,-2.26413
12,千葉県,12235,匝瑳市,35099.0,17264.0,17835.0,37261.0,-2162.0,-5.80231,96.79843,101.52,345.7,12853.0,12712.0,141.0,1.10919
