所管,組織,項目1,項目2,令和3年度要求額(千円)
皇室費,皇室費,内廷費,(内廷費),324000.0
皇室費,皇室費,宮廷費,諸謝金,31376.0
皇室費,皇室費,宮廷費,報償費,311476.0
皇室費,皇室費,宮廷費,庁費,2461893.0
皇室費,皇室費,宮廷費,各所修繕,1462993.0
皇室費,皇室費,宮廷費,招宴費,88140.0
皇室費,皇室費,宮廷費,自動車重量税,1400.0
皇室費,皇室費,宮廷費,施設整備費,7426797.0
皇室費,皇室費,宮廷費,交際費,44088.0
皇室費,皇室費,皇族費,(皇族費),269315.0
国会,衆議院,衆議院,議員歳費,1.0042407E7
国会,衆議院,衆議院,職員基本給,8749473.0
国会,衆議院,衆議院,職員諸手当,4507807.0
国会,衆議院,衆議院,超過勤務手当,1480431.0
国会,衆議院,衆議院,議員秘書手当,1.2598678E7
国会,衆議院,衆議院,非常勤職員手当,248736.0
国会,衆議院,衆議院,休職者給与,31370.0
国会,衆議院,衆議院,短時間勤務職員給与,157585.0
国会,衆議院,衆議院,公務災害補償費,11082.0
国会,衆議院,衆議院,退職手当,1906610.0
国会,衆議院,衆議院,議員秘書退職手当,1353725.0
国会,衆議院,衆議院,弔慰金,41408.0
国会,衆議院,衆議院,児童手当,71440.0
国会,衆議院,衆議院,諸謝金,6327.0
国会,衆議院,衆議院,議員旅費,316429.0
国会,衆議院,衆議院,議員文書通信交通滞在費,5718000.0
国会,衆議院,衆議院,議会雑費,29700.0
国会,衆議院,衆議院,職員旅費,147070.0
国会,衆議院,衆議院,赴任旅費,2437.0
国会,衆議院,衆議院,委員等旅費,2517.0
国会,衆議院,衆議院,証人等旅費,9494.0
国会,衆議院,衆議院,庁費,1002290.0
国会,衆議院,衆議院,情報処理業務庁費,2151755.0
国会,衆議院,衆議院,議員会館管理等運営庁費,3689817.0
国会,衆議院,衆議院,議員特殊乗車券等購入費,911955.0
国会,衆議院,衆議院,国会活動啓発費,23026.0
国会,衆議院,衆議院,議案類印刷費,558952.0
国会,衆議院,衆議院,招へい外国人滞在費,73594.0
国会,衆議院,衆議院,各所修繕,76401.0
国会,衆議院,衆議院,国政調査活動費,359347.0
国会,衆議院,衆議院,公共施設等維持管理運営費,3372516.0
国会,衆議院,衆議院,自動車重量税,1086.0
国会,衆議院,衆議院,立法事務費,3627000.0
国会,衆議院,衆議院,国家公務員共済組合負担金,2292438.0
国会,衆議院,衆議院,基礎年金等国家公務員共済組合負担金,575305.0
国会,衆議院,衆議院,育児休業手当金国家公務員共済組合負担金,716.0
国会,衆議院,衆議院,国有資産所在市町村交付金,509871.0
国会,衆議院,衆議院,列国議会同盟分担金,105994.0
国会,衆議院,衆議院,交際費,59138.0
国会,衆議院,衆議院,賠償償還及払戻金,2467.0
国会,衆議院,衆議院施設費,施設施工旅費,694.0
国会,衆議院,衆議院施設費,施設施工庁費,75211.0
国会,衆議院,衆議院施設費,施設整備費,1614296.0
国会,衆議院,衆議院施設費,不動産購入費,596205.0
国会,衆議院,衆議院予備経費,(国会予備経費),7000.0
国会,参議院,参議院,議員歳費,5300350.0
国会,参議院,参議院,職員基本給,6510292.0
国会,参議院,参議院,職員諸手当,3342103.0
国会,参議院,参議院,超過勤務手当,1116246.0
国会,参議院,参議院,議員秘書手当,6566256.0
国会,参議院,参議院,非常勤職員手当,177465.0
国会,参議院,参議院,休職者給与,36385.0
国会,参議院,参議院,短時間勤務職員給与,104694.0
国会,参議院,参議院,公務災害補償費,2848.0
国会,参議院,参議院,退職手当,1521279.0
国会,参議院,参議院,議員秘書退職手当,190554.0
国会,参議院,参議院,弔慰金,41408.0
国会,参議院,参議院,児童手当,49295.0
国会,参議院,参議院,諸謝金,4517.0
国会,参議院,参議院,議員旅費,162619.0
国会,参議院,参議院,議員文書通信交通滞在費,2940000.0
国会,参議院,参議院,議会雑費,29700.0
国会,参議院,参議院,職員旅費,87744.0
国会,参議院,参議院,赴任旅費,2133.0
国会,参議院,参議院,証人等旅費,10779.0
国会,参議院,参議院,庁費,564643.0
国会,参議院,参議院,情報処理業務庁費,1297427.0
国会,参議院,参議院,議員会館管理等運営庁費,2665362.0
国会,参議院,参議院,議員特殊乗車券等購入費,472860.0
国会,参議院,参議院,国会活動啓発費,18850.0
国会,参議院,参議院,議案類印刷費,193548.0
国会,参議院,参議院,招へい外国人滞在費,50870.0
国会,参議院,参議院,各所修繕,62787.0
国会,参議院,参議院,国政調査活動費,186140.0
国会,参議院,参議院,公共施設等維持管理運営費,1847890.0
国会,参議院,参議院,自動車重量税,727.0
国会,参議院,参議院,立法事務費,1911000.0
国会,参議院,参議院,国家公務員共済組合負担金,1730420.0
国会,参議院,参議院,基礎年金等国家公務員共済組合負担金,427389.0
国会,参議院,参議院,育児休業手当金国家公務員共済組合負担金,327.0
国会,参議院,参議院,国有資産所在市町村交付金,433890.0
国会,参議院,参議院,交際費,31017.0
国会,参議院,参議院,賠償償還及払戻金,2360.0
国会,参議院,参議院施設費,施設施工旅費,875.0
国会,参議院,参議院施設費,施設施工庁費,91133.0
国会,参議院,参議院施設費,施設整備費,1441299.0
国会,参議院,参議院予備経費,(国会予備経費),5000.0
国会,国立国会図書館,国立国会図書館,職員基本給,4675331.0
国会,国立国会図書館,国立国会図書館,職員諸手当,2527522.0
国会,国立国会図書館,国立国会図書館,超過勤務手当,485354.0
国会,国立国会図書館,国立国会図書館,非常勤職員手当,213553.0
国会,国立国会図書館,国立国会図書館,休職者給与,34852.0
国会,国立国会図書館,国立国会図書館,短時間勤務職員給与,60110.0
国会,国立国会図書館,国立国会図書館,公務災害補償費,2736.0
国会,国立国会図書館,国立国会図書館,退職手当,751040.0
国会,国立国会図書館,国立国会図書館,児童手当,24785.0
国会,国立国会図書館,国立国会図書館,諸謝金,21350.0
国会,国立国会図書館,国立国会図書館,職員旅費,57319.0
国会,国立国会図書館,国立国会図書館,赴任旅費,9400.0
国会,国立国会図書館,国立国会図書館,委員等旅費,3186.0
国会,国立国会図書館,国立国会図書館,外国人招へい旅費,4921.0
国会,国立国会図書館,国立国会図書館,庁費,61162.0
国会,国立国会図書館,国立国会図書館,国立国会図書館業務庁費,4514498.0
国会,国立国会図書館,国立国会図書館,図書館資料購入費,771274.0
国会,国立国会図書館,国立国会図書館,立法資料購入費,63904.0
国会,国立国会図書館,国立国会図書館,科学技術関係資料費,1149837.0
国会,国立国会図書館,国立国会図書館,特殊文書関係資料整備費,68783.0
国会,国立国会図書館,国立国会図書館,電子計算機等借料,1572886.0
国会,国立国会図書館,国立国会図書館,招へい外国人滞在費,4557.0
国会,国立国会図書館,国立国会図書館,各所修繕,80916.0
国会,国立国会図書館,国立国会図書館,自動車重量税,62.0
国会,国立国会図書館,国立国会図書館,国家公務員共済組合負担金,1171930.0
国会,国立国会図書館,国立国会図書館,基礎年金等国家公務員共済組合負担金,296122.0
国会,国立国会図書館,国立国会図書館,育児休業手当金国家公務員共済組合負担金,79.0
国会,国立国会図書館,国立国会図書館,国有資産所在市町村交付金,2822.0
国会,国立国会図書館,国立国会図書館,国際図書館連盟等拠出金,7953.0
国会,国立国会図書館,国立国会図書館,交際費,651.0
国会,国立国会図書館,国立国会図書館,賠償償還及払戻金,44.0
国会,国立国会図書館,国立国会図書館,納入出版物代償金,397476.0
国会,国立国会図書館,国立国会図書館施設費,施設施工旅費,373.0
国会,国立国会図書館,国立国会図書館施設費,施設施工庁費,110773.0
国会,国立国会図書館,国立国会図書館施設費,施設整備費,1088677.0
国会,裁判官訴追委員会,裁判官訴追委員会,職員基本給,75687.0
国会,裁判官訴追委員会,裁判官訴追委員会,職員諸手当,37789.0
国会,裁判官訴追委員会,裁判官訴追委員会,超過勤務手当,4622.0
国会,裁判官訴追委員会,裁判官訴追委員会,非常勤職員手当,8660.0
国会,裁判官訴追委員会,裁判官訴追委員会,児童手当,1140.0
国会,裁判官訴追委員会,裁判官訴追委員会,諸謝金,100.0
国会,裁判官訴追委員会,裁判官訴追委員会,職務雑費,900.0
国会,裁判官訴追委員会,裁判官訴追委員会,職員旅費,904.0
国会,裁判官訴追委員会,裁判官訴追委員会,委員旅費,907.0
国会,裁判官訴追委員会,裁判官訴追委員会,証人等旅費,330.0
国会,裁判官訴追委員会,裁判官訴追委員会,庁費,4239.0
国会,裁判官弾劾裁判所,裁判官弾劾裁判所,職員基本給,67173.0
国会,裁判官弾劾裁判所,裁判官弾劾裁判所,職員諸手当,37520.0
国会,裁判官弾劾裁判所,裁判官弾劾裁判所,超過勤務手当,3039.0
国会,裁判官弾劾裁判所,裁判官弾劾裁判所,児童手当,720.0
国会,裁判官弾劾裁判所,裁判官弾劾裁判所,諸謝金,159.0
国会,裁判官弾劾裁判所,裁判官弾劾裁判所,職務雑費,900.0
国会,裁判官弾劾裁判所,裁判官弾劾裁判所,職員旅費,407.0
国会,裁判官弾劾裁判所,裁判官弾劾裁判所,委員旅費,281.0
国会,裁判官弾劾裁判所,裁判官弾劾裁判所,証人等旅費,44.0
国会,裁判官弾劾裁判所,裁判官弾劾裁判所,庁費,4665.0
国会,裁判官弾劾裁判所,裁判官弾劾裁判所,自動車重量税,20.0
裁判所,裁判所,最高裁判所,職員基本給,5360736.0
裁判所,裁判所,最高裁判所,職員諸手当,2803556.0
裁判所,裁判所,最高裁判所,超過勤務手当,756541.0
裁判所,裁判所,最高裁判所,委員手当,16623.0
裁判所,裁判所,最高裁判所,非常勤職員手当,8507.0
裁判所,裁判所,最高裁判所,休職者給与,463187.0
裁判所,裁判所,最高裁判所,短時間勤務職員給与,1883.0
裁判所,裁判所,最高裁判所,公務災害補償費,100349.0
裁判所,裁判所,最高裁判所,退職手当,2.1997193E7
裁判所,裁判所,最高裁判所,児童手当,64195.0
裁判所,裁判所,最高裁判所,諸謝金,261023.0
裁判所,裁判所,最高裁判所,修習給付金,3288079.0
裁判所,裁判所,最高裁判所,職員旅費,619522.0
裁判所,裁判所,最高裁判所,外国留学旅費,34990.0
裁判所,裁判所,最高裁判所,赴任旅費,795246.0
裁判所,裁判所,最高裁判所,委員等旅費,11778.0
裁判所,裁判所,最高裁判所,司法修習生旅費,147832.0
裁判所,裁判所,最高裁判所,外国人招へい旅費,3813.0
裁判所,裁判所,最高裁判所,証人等旅費,12.0
裁判所,裁判所,最高裁判所,庁費,1155533.0
裁判所,裁判所,最高裁判所,国会図書館支部庁費,46665.0
裁判所,裁判所,最高裁判所,情報処理業務庁費,337909.0
裁判所,裁判所,最高裁判所,国有財産管理処分庁費,2530.0
裁判所,裁判所,最高裁判所,研修費,418361.0
裁判所,裁判所,最高裁判所,裁判資料整備費,537202.0
裁判所,裁判所,最高裁判所,裁判官等法服費,6772.0
裁判所,裁判所,最高裁判所,招へい外国人滞在費,2724.0
裁判所,裁判所,最高裁判所,各所修繕,1116640.0
裁判所,裁判所,最高裁判所,自動車重量税,317.0
裁判所,裁判所,最高裁判所,司法修習生研修委託費,96889.0
裁判所,裁判所,最高裁判所,国家公務員共済組合負担金,3.3249794E7
裁判所,裁判所,最高裁判所,基礎年金等国家公務員共済組合負担金,8039442.0
裁判所,裁判所,最高裁判所,育児休業手当金国家公務員共済組合負担金,13968.0
裁判所,裁判所,最高裁判所,国有資産所在市町村交付金,177006.0
裁判所,裁判所,最高裁判所,国際裁判官連合分担金,384.0
裁判所,裁判所,最高裁判所,交際費,2114.0
裁判所,裁判所,最高裁判所,賠償償還及払戻金,6076.0
裁判所,裁判所,最高裁判所,修習資金貸与金,1090680.0
裁判所,裁判所,下級裁判所,職員基本給,1.26452712E8
裁判所,裁判所,下級裁判所,職員諸手当,6.2631619E7
裁判所,裁判所,下級裁判所,超過勤務手当,3576762.0
裁判所,裁判所,下級裁判所,委員手当,6752417.0
裁判所,裁判所,下級裁判所,非常勤職員手当,110901.0
裁判所,裁判所,下級裁判所,短時間勤務職員給与,10800.0
裁判所,裁判所,下級裁判所,児童手当,905770.0
裁判所,裁判所,下級裁判所,諸謝金,65476.0
裁判所,裁判所,下級裁判所,職員旅費,231396.0
裁判所,裁判所,下級裁判所,委員等旅費,429033.0
裁判所,裁判所,下級裁判所,庁費,5365070.0
裁判所,裁判所,下級裁判所,情報処理業務庁費,137589.0
裁判所,裁判所,下級裁判所,国有財産管理処分庁費,14747.0
裁判所,裁判所,下級裁判所,法廷等器具整備費,448334.0
裁判所,裁判所,下級裁判所,土地建物借料,20849.0
裁判所,裁判所,下級裁判所,自動車重量税,1437.0
裁判所,裁判所,下級裁判所,交際費,813.0
裁判所,裁判所,検察審査費,委員手当,4145.0
裁判所,裁判所,検察審査費,諸謝金,434.0
裁判所,裁判所,検察審査費,職員旅費,527.0
裁判所,裁判所,検察審査費,委員等旅費,173.0
裁判所,裁判所,検察審査費,検察審査員旅費,235312.0
裁判所,裁判所,検察審査費,証人等旅費,142.0
裁判所,裁判所,検察審査費,庁費,52477.0
裁判所,裁判所,裁判費,諸謝金,2143654.0
裁判所,裁判所,裁判費,裁判旅費,277277.0
裁判所,裁判所,裁判費,執行官旅費,43858.0
裁判所,裁判所,裁判費,委員等旅費,1452528.0
裁判所,裁判所,裁判費,証人等旅費,184915.0
裁判所,裁判所,裁判費,裁判庁費,1.4613296E7
裁判所,裁判所,裁判費,特別送達料,584037.0
裁判所,裁判所,裁判費,身柄拘束者食糧費,424.0
裁判所,裁判所,裁判費,少年補導委託費,145768.0
裁判所,裁判所,裁判費,賠償償還及払戻金,277694.0
裁判所,裁判所,裁判費,保証金,10000.0
裁判所,裁判所,裁判費,刑事補償金,506960.0
裁判所,裁判所,裁判費,少年補償金,10021.0
裁判所,裁判所,裁判所施設費,施設施工旅費,56486.0
裁判所,裁判所,裁判所施設費,施設施工庁費,795163.0
裁判所,裁判所,裁判所施設費,施設整備費,1.3772825E7
裁判所,裁判所,裁判所予備経費,(裁判所予備経費),8000.0
会計検査院,会計検査院,会計検査院,職員基本給,6200659.0
会計検査院,会計検査院,会計検査院,職員諸手当,3275754.0
会計検査院,会計検査院,会計検査院,超過勤務手当,974751.0
会計検査院,会計検査院,会計検査院,委員手当,1417.0
会計検査院,会計検査院,会計検査院,非常勤職員手当,14833.0
会計検査院,会計検査院,会計検査院,休職者給与,22302.0
会計検査院,会計検査院,会計検査院,国際機関等派遣職員給与,221.0
会計検査院,会計検査院,会計検査院,短時間勤務職員給与,229462.0
会計検査院,会計検査院,会計検査院,公務災害補償費,14728.0
会計検査院,会計検査院,会計検査院,退職手当,1110163.0
会計検査院,会計検査院,会計検査院,児童手当,45650.0
会計検査院,会計検査院,会計検査院,諸謝金,8043.0
会計検査院,会計検査院,会計検査院,職員旅費,53620.0
会計検査院,会計検査院,会計検査院,検査旅費,414648.0
会計検査院,会計検査院,会計検査院,外国留学旅費,7547.0
会計検査院,会計検査院,会計検査院,赴任旅費,7887.0
会計検査院,会計検査院,会計検査院,委員等旅費,3893.0
会計検査院,会計検査院,会計検査院,外国人招へい旅費,8327.0
会計検査院,会計検査院,会計検査院,庁費,236882.0
会計検査院,会計検査院,会計検査院,研修所庁費,117413.0
会計検査院,会計検査院,会計検査院,会計検査情報処理業務庁費,914385.0
会計検査院,会計検査院,会計検査院,国会図書館支部庁費,1535.0
会計検査院,会計検査院,会計検査院,通信専用料,821.0
会計検査院,会計検査院,会計検査院,電子計算機等借料,186758.0
会計検査院,会計検査院,会計検査院,招へい外国人滞在費,1293.0
会計検査院,会計検査院,会計検査院,各所修繕,13456.0
会計検査院,会計検査院,会計検査院,会計検査活動費,235764.0
会計検査院,会計検査院,会計検査院,民間資金等活用事業調査費,9188.0
会計検査院,会計検査院,会計検査院,公共施設等維持管理運営費,519141.0
会計検査院,会計検査院,会計検査院,官民区分所有施設維持管理運営費,134548.0
会計検査院,会計検査院,会計検査院,自動車重量税,172.0
会計検査院,会計検査院,会計検査院,国家公務員共済組合負担金,1570230.0
会計検査院,会計検査院,会計検査院,基礎年金等国家公務員共済組合負担金,415561.0
会計検査院,会計検査院,会計検査院,育児休業手当金国家公務員共済組合負担金,597.0
会計検査院,会計検査院,会計検査院,国有資産所在市町村交付金,210.0
会計検査院,会計検査院,会計検査院,最高会計検査機関国際組織分担金,2777.0
会計検査院,会計検査院,会計検査院,最高会計検査機関国際組織拠出金,4860.0
会計検査院,会計検査院,会計検査院,交際費,765.0
会計検査院,会計検査院,会計検査院,賠償償還及払戻金,10.0
会計検査院,会計検査院,会計検査院施設費,施設施工旅費,932.0
会計検査院,会計検査院,会計検査院施設費,施設施工庁費,451.0
会計検査院,会計検査院,会計検査院施設費,施設整備費,73993.0
内閣,内閣官房,内閣官房共通費,職員基本給,7301890.0
内閣,内閣官房,内閣官房共通費,職員諸手当,3736671.0
内閣,内閣官房,内閣官房共通費,超過勤務手当,1151456.0
内閣,内閣官房,内閣官房共通費,委員手当,18266.0
内閣,内閣官房,内閣官房共通費,非常勤職員手当,791484.0
内閣,内閣官房,内閣官房共通費,休職者給与,19206.0
内閣,内閣官房,内閣官房共通費,短時間勤務職員給与,189678.0
内閣,内閣官房,内閣官房共通費,退職手当,1090576.0
内閣,内閣官房,内閣官房共通費,児童手当,65025.0
内閣,内閣官房,内閣官房共通費,諸謝金,1437921.0
内閣,内閣官房,内閣官房共通費,報償費,1461652.0
内閣,内閣官房,内閣官房共通費,職員旅費,737430.0
内閣,内閣官房,内閣官房共通費,外国留学旅費,3108.0
内閣,内閣官房,内閣官房共通費,赴任旅費,8855.0
内閣,内閣官房,内閣官房共通費,委員等旅費,155533.0
内閣,内閣官房,内閣官房共通費,外国人招へい旅費,4873.0
内閣,内閣官房,内閣官房共通費,庁費,2510312.0
内閣,内閣官房,内閣官房共通費,情報処理業務庁費,5929045.0
内閣,内閣官房,内閣官房共通費,総理大臣官邸業務庁費,1983888.0
内閣,内閣官房,内閣官房共通費,拉致問題対策庁費,577957.0
内閣,内閣官房,内閣官房共通費,電子計算機等借料,457620.0
内閣,内閣官房,内閣官房共通費,土地建物借料,1355163.0
内閣,内閣官房,内閣官房共通費,各所修繕,53575.0
内閣,内閣官房,内閣官房共通費,拉致問題対策情報収集等活動費,600000.0
内閣,内閣官房,内閣官房共通費,国家安全保障政策活動費,120000.0
内閣,内閣官房,内閣官房共通費,国際テロ情報収集等活動費,420000.0
内閣,内閣官房,内閣官房共通費,自動車重量税,1761.0
内閣,内閣官房,内閣官房共通費,情報調査委託費,757954.0
内閣,内閣官房,内閣官房共通費,サイバーセキュリティ施策評価事務委託費,31915.0
内閣,内閣官房,内閣官房共通費,サイバーセキュリティ協議会連絡調整事務委託費,79643.0
内閣,内閣官房,内閣官房共通費,重要政策基礎調査委託費,0.0
内閣,内閣官房,内閣官房共通費,国家公務員共済組合負担金,2093281.0
内閣,内閣官房,内閣官房共通費,基礎年金等国家公務員共済組合負担金,461941.0
内閣,内閣官房,内閣官房共通費,育児休業手当金国家公務員共済組合負担金,137.0
内閣,内閣官房,内閣官房共通費,交際費,11841.0
内閣,内閣官房,内閣官房共通費,賠償償還及払戻金,200.0
内閣,内閣官房,内閣官房施設費,施設施工旅費,725.0
内閣,内閣官房,内閣官房施設費,施設施工庁費,58343.0
内閣,内閣官房,内閣官房施設費,施設整備費,1529889.0
内閣,内閣官房,情報通信技術調達等適正・効率化推進費,情報処理業務庁費,2.61256556E8
内閣,内閣官房,情報通信技術調達等適正・効率化推進費,情報通信技術調達等適正・効率化推進委託費,8687416.0
内閣,内閣官房,情報収集衛星業務費,諸謝金,123235.0
内閣,内閣官房,情報収集衛星業務費,職員旅費,76747.0
内閣,内閣官房,情報収集衛星業務費,外国留学旅費,3107.0
内閣,内閣官房,情報収集衛星業務費,委員等旅費,520.0
内閣,内閣官房,情報収集衛星業務費,情報収集衛星業務庁費,1.3749766E7
内閣,内閣官房,情報収集衛星業務費,通信専用料,1354859.0
内閣,内閣官房,情報収集衛星業務費,土地建物借料,23700.0
内閣,内閣官房,情報収集衛星業務費,各所修繕,31424.0
内閣,内閣官房,情報収集衛星業務費,自動車重量税,120.0
内閣,内閣官房,情報収集衛星業務費,情報収集衛星システム開発等委託費,4.2159554E7
内閣,内閣官房,情報収集衛星施設費,施設施工旅費,4964.0
内閣,内閣官房,情報収集衛星施設費,施設施工庁費,143846.0
内閣,内閣官房,情報収集衛星施設費,施設整備費,4860231.0
内閣,内閣法制局,内閣法制局,職員基本給,491511.0
内閣,内閣法制局,内閣法制局,職員諸手当,276990.0
内閣,内閣法制局,内閣法制局,超過勤務手当,74409.0
内閣,内閣法制局,内閣法制局,短時間勤務職員給与,3663.0
内閣,内閣法制局,内閣法制局,児童手当,4660.0
内閣,内閣法制局,内閣法制局,諸謝金,1616.0
内閣,内閣法制局,内閣法制局,職員旅費,2173.0
内閣,内閣法制局,内閣法制局,庁費,124236.0
内閣,内閣法制局,内閣法制局,国会図書館支部庁費,1479.0
内閣,内閣法制局,内閣法制局,情報処理業務庁費,211704.0
内閣,内閣法制局,内閣法制局,各所修繕,2904.0
内閣,内閣法制局,内閣法制局,自動車重量税,164.0
内閣,内閣法制局,内閣法制局,交際費,320.0
内閣,人事院,人事院,職員基本給,3191703.0
内閣,人事院,人事院,職員諸手当,1722405.0
内閣,人事院,人事院,超過勤務手当,345109.0
内閣,人事院,人事院,委員手当,2487.0
内閣,人事院,人事院,非常勤職員手当,7808.0
内閣,人事院,人事院,休職者給与,13714.0
内閣,人事院,人事院,短時間勤務職員給与,94239.0
内閣,人事院,人事院,公務災害補償費,240.0
内閣,人事院,人事院,退職手当,921181.0
内閣,人事院,人事院,児童手当,27810.0
内閣,人事院,人事院,諸謝金,84844.0
内閣,人事院,人事院,職員旅費,157226.0
内閣,人事院,人事院,外国留学旅費,128982.0
内閣,人事院,人事院,赴任旅費,12289.0
内閣,人事院,人事院,講師等旅費,10308.0
内閣,人事院,人事院,外国人招へい旅費,3653.0
内閣,人事院,人事院,証人等旅費,59.0
内閣,人事院,人事院,庁費,545119.0
内閣,人事院,人事院,研修所庁費,183152.0
内閣,人事院,人事院,国会図書館支部庁費,1866.0
内閣,人事院,人事院,情報処理業務庁費,23372.0
内閣,人事院,人事院,任用試験費,609478.0
内閣,人事院,人事院,招へい外国人滞在費,973.0
内閣,人事院,人事院,各所修繕,30802.0
内閣,人事院,人事院,自動車重量税,65.0
内閣,人事院,人事院,国家公務員共済組合負担金,843239.0
内閣,人事院,人事院,基礎年金等国家公務員共済組合負担金,208563.0
内閣,人事院,人事院,育児休業手当金国家公務員共済組合負担金,37.0
内閣,人事院,人事院,国有資産所在市町村交付金,13059.0
内閣,人事院,人事院,国際人事管理機関連合会分担金,54.0
内閣,人事院,人事院,交際費,485.0
内閣,人事院,人事院,賠償償還及払戻金,20.0
内閣,人事院,人事院施設費,施設整備費,33110.0
内閣府,内閣本府,内閣本府共通費,職員基本給,6242341.0
内閣府,内閣本府,内閣本府共通費,職員諸手当,3334829.0
内閣府,内閣本府,内閣本府共通費,超過勤務手当,962098.0
内閣府,内閣本府,内閣本府共通費,委員手当,197815.0
内閣府,内閣本府,内閣本府共通費,非常勤職員手当,684514.0
内閣府,内閣本府,内閣本府共通費,休職者給与,133831.0
内閣府,内閣本府,内閣本府共通費,国際機関等派遣職員給与,25834.0
内閣府,内閣本府,内閣本府共通費,短時間勤務職員給与,304865.0
内閣府,内閣本府,内閣本府共通費,公務災害補償費,85398.0
内閣府,内閣本府,内閣本府共通費,退職手当,2429599.0
内閣府,内閣本府,内閣本府共通費,児童手当,59025.0
内閣府,内閣本府,内閣本府共通費,諸謝金,136337.0
内閣府,内閣本府,内閣本府共通費,みどりの学術賞賞金,2000.0
内閣府,内閣本府,内閣本府共通費,褒賞金,15000.0
内閣府,内閣本府,内閣本府共通費,拉致被害者等給付金及滞在援助金,287085.0
内閣府,内閣本府,内閣本府共通費,職員旅費,197336.0
内閣府,内閣本府,内閣本府共通費,災害検査旅費,327.0
内閣府,内閣本府,内閣本府共通費,外国留学旅費,32832.0
内閣府,内閣本府,内閣本府共通費,赴任旅費,41184.0
内閣府,内閣本府,内閣本府共通費,委員等旅費,140974.0
内閣府,内閣本府,内閣本府共通費,外国人招へい旅費,7800.0
内閣府,内閣本府,内閣本府共通費,庁費,2913804.0
内閣府,内閣本府,内閣本府共通費,国会図書館支部庁費,2720.0
内閣府,内閣本府,内閣本府共通費,情報処理業務庁費,844703.0
内閣府,内閣本府,内閣本府共通費,消費者政策業務庁費,40208.0
内閣府,内閣本府,内閣本府共通費,移転費,58347.0
内閣府,内閣本府,内閣本府共通費,土地建物借料,430037.0
内閣府,内閣本府,内閣本府共通費,各所修繕,89853.0
内閣府,内閣本府,内閣本府共通費,公共施設等維持管理運営費,1067179.0
内閣府,内閣本府,内閣本府共通費,自動車重量税,1152.0
内閣府,内閣本府,内閣本府共通費,消費税転嫁等対策業務庁費,0.0
内閣府,内閣本府,内閣本府共通費,拉致被害者等生活相談等事務委託費,94770.0
内閣府,内閣本府,内閣本府共通費,国家公務員共済組合負担金,3734914.0
内閣府,内閣本府,内閣本府共通費,基礎年金等国家公務員共済組合負担金,1022392.0
内閣府,内閣本府,内閣本府共通費,育児休業手当金国家公務員共済組合負担金,934.0
内閣府,内閣本府,内閣本府共通費,国有資産所在市町村交付金,56325.0
内閣府,内閣本府,内閣本府共通費,政府開発援助世界保健機関拠出金,18687.0
内閣府,内閣本府,内閣本府共通費,交際費,9584.0
内閣府,内閣本府,内閣本府共通費,賠償償還及払戻金,1130.0
内閣府,内閣本府,内閣本府施設費,施設施工旅費,2851.0
内閣府,内閣本府,内閣本府施設費,施設施工庁費,163661.0
内閣府,内閣本府,内閣本府施設費,施設整備費,3056834.0
内閣府,内閣本府,公文書等管理政策費,諸謝金,20269.0
内閣府,内閣本府,公文書等管理政策費,職員旅費,13776.0
内閣府,内閣本府,公文書等管理政策費,委員等旅費,1077.0
内閣府,内閣本府,公文書等管理政策費,庁費,18729.0
内閣府,内閣本府,独立行政法人国立公文書館運営費,独立行政法人国立公文書館運営費交付金,2386878.0
内閣府,内閣本府,独立行政法人国立公文書館施設整備費,独立行政法人国立公文書館施設整備費補助金,55763.0
内閣府,内閣本府,政府広報費,非常勤職員手当,6779.0
内閣府,内閣本府,政府広報費,諸謝金,11098.0
内閣府,内閣本府,政府広報費,職員旅費,7434.0
内閣府,内閣本府,政府広報費,情報処理業務庁費,145710.0
内閣府,内閣本府,政府広報費,啓発広報費,7680016.0
内閣府,内閣本府,政府広報費,国際機関等拠出金,500712.0
内閣府,内閣本府,アイヌ政策推進費,諸謝金,1092.0
内閣府,内閣本府,アイヌ政策推進費,職員旅費,1820.0
内閣府,内閣本府,アイヌ政策推進費,アイヌ政策推進交付金,2000000.0
内閣府,内閣本府,経済財政政策費,非常勤職員手当,16455.0
内閣府,内閣本府,経済財政政策費,諸謝金,6386.0
内閣府,内閣本府,経済財政政策費,職員旅費,64948.0
内閣府,内閣本府,経済財政政策費,委員等旅費,14155.0
内閣府,内閣本府,経済財政政策費,庁費,32652.0
内閣府,内閣本府,経済財政政策費,情報処理業務庁費,124645.0
内閣府,内閣本府,経済財政政策費,経済財政政策運営調査費,19095.0
内閣府,内閣本府,経済財政政策費,経済新生政策調査費,96439.0
内閣府,内閣本府,経済財政政策費,民間資金等活用事業調査費,142940.0
内閣府,内閣本府,経済財政政策費,市民活動促進等調査費,42018.0
内閣府,内閣本府,経済財政政策費,景気動向調査費,187086.0
内閣府,内閣本府,経済財政政策費,経済調査等委託費,0.0
内閣府,内閣本府,経済財政政策費,成果連動型民間委託契約方式推進交付金,50000.0
内閣府,内閣本府,経済財政政策費,経済協力開発機構拠出金,58291.0
内閣府,内閣本府,地方創生支援費,非常勤職員手当,44528.0
内閣府,内閣本府,地方創生支援費,諸謝金,4981.0
内閣府,内閣本府,地方創生支援費,職員旅費,4211.0
内閣府,内閣本府,地方創生支援費,委員等旅費,9872.0
内閣府,内閣本府,地方創生支援費,庁費,5873.0
