主管,部,款,項,目,令和3年度予算額(千円)
環境省,雑収入,諸収入,許可及手数料,手数料,24403.0
環境省,雑収入,諸収入,弁償及返納金,弁償及違約金,1221.0
環境省,雑収入,諸収入,弁償及返納金,返納金,1198070.0
環境省,雑収入,諸収入,物品売払収入,不用物品売払代,143.0
環境省,雑収入,諸収入,雑入,労働保険料被保険者負担金,3078.0
環境省,雑収入,諸収入,雑入,延滞金,1860.0
環境省,雑収入,諸収入,雑入,雑収,51476.0
防衛省,官業益金及官業収入,官業収入,病院収入,防衛省病院収入,1.7575318E7
防衛省,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,81056.0
防衛省,政府資産整理収入,回収金等収入,貸付金等回収金収入,自衛隊衛生貸費学生等貸与金償還金,466947.0
防衛省,政府資産整理収入,回収金等収入,事故補償費返還金,在日合衆国軍事故補償費返還金,51888.0
防衛省,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,977462.0
防衛省,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1174722.0
防衛省,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,4809277.0
防衛省,雑収入,国有財産利用収入,国有財産使用収入,入場料等収入,128830.0
防衛省,雑収入,国有財産利用収入,国有財産使用収入,寄宿料,115.0
防衛省,雑収入,国有財産利用収入,国有財産使用収入,飛行場及航空保安施設使用料収入,1401.0
防衛省,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,0.0
防衛省,雑収入,国有財産利用収入,利子収入,延納利子収入,2011.0
防衛省,雑収入,納付金,雑納付金,独立行政法人駐留軍等労働者労務管理機構納付金,42264.0
防衛省,雑収入,諸収入,授業料及入学検定料,授業料,5488.0
防衛省,雑収入,諸収入,受託調査試験及役務収入,受託調査及試験収入,22584.0
防衛省,雑収入,諸収入,弁償及返納金,弁償及違約金,3655932.0
防衛省,雑収入,諸収入,弁償及返納金,返納金,2.1238367E7
防衛省,雑収入,諸収入,物品売払収入,不用物品売払代,1831006.0
防衛省,雑収入,諸収入,物品売払収入,返還物品売払代,145677.0
防衛省,雑収入,諸収入,物品売払収入,残飯売払代,292.0
防衛省,雑収入,諸収入,雑入,労働保険料被保険者負担金,39683.0
防衛省,雑収入,諸収入,雑入,延滞金,8644.0
防衛省,雑収入,諸収入,雑入,給食費受入,2213549.0
防衛省,雑収入,諸収入,雑入,雑収,968032.0
