行政区域コード,公共施設大分類,公共施設小分類,名称,所在地,管理者コード,原典資料名,Lon,Lat
13120,3,3001,光が丘美術館,田柄5-27-25,4,数値地図画像,139.63243295,35.75986668
13120,3,3001,日本大学芸術学部芸術資料館,旭丘2-42-1,4,数値地図画像,139.36833136,35.66263502
13120,3,3001,練馬区立美術館,貫井1-36-16,3,数値地図,139.63610024,35.73700546
13201,3,3001,村内美術館,左入町787,4,数値地図,139.33640021,35.67926855
13201,3,3001,東京富士美術館,谷野町492-1,4,数値地図,139.32907005,35.68626759
13203,3,3001,武蔵野市立吉祥寺美術館,吉祥寺本町1-8-16,3,数値地図画像,
13204,3,3001,三鷹の森ジブリ美術館（三鷹市立アニメーション美術館）,下連雀1-1-83,3,数値地図画像,139.57036571,35.69629164
13205,3,3001,玉堂美術館,御岳1-75,4,数値地図画像,139.18409711,35.80007334
13205,3,3001,青梅市立美術館・青梅市立小島善太郎美術館,滝ノ上町1346-1,3,数値地図画像,
13205,3,3001,澤乃井櫛かんざし美術館,柚木町3-764-1,4,数値地図画像,139.19679874,35.80335117
13206,3,3001,大国魂神社宝物殿,宮町3-1,4,数値地図画像,134.04546049,34.32482253
13206,3,3001,府中市美術館,浅間町1-3,3,数値地図画像,139.49128998,35.67765858
13209,3,3001,西山美術館,野津田町1000,4,数値地図画像,139.45450195,35.58971280
13209,3,3001,町田市立国際版画美術館,原町田4-28-1,3,数値地図,139.45525860,35.54388382
13212,3,3001,実践女子学園香雪記念資料館,大坂上4-1-1,4,数値地図画像,139.38993207,35.67139555
13224,3,3001,多摩美術大学美術館,落合1-33-1,4,数値地図画像,139.42827511,35.62354936
13101,3,3002,科学技術館,北の丸公園2-1,4,数値地図,139.75302259,35.69118869
13101,3,3002,憲政記念館,永田町1-1-1,1,数値地図画像,139.74715134,35.67842326
13101,3,3002,交通博物館,神田須田町1-25,4,数値地図,139.77004910,35.69695800
13101,3,3002,自転車文化センター,北の丸公園2-1,4,数値地図,139.75302259,35.69118869
13101,3,3002,昭和館,九段南1-6-1,1,数値地図画像,139.75110037,35.69520487
13101,3,3002,千秋文庫博物館,九段南2-1-36,4,数値地図,139.74653691,35.69324663
13101,3,3002,千代田区立四番町歴史民俗資料館,四番町1,3,数値地図画像,139.73959044,35.68942465
13101,3,3002,逓信総合博物館,大手町2-3-1,1,数値地図,139.76714953,35.68675623
13101,3,3002,天理ギャラリー,神田錦町1-9,4,数値地図画像,139.76436345,35.69179727
13101,3,3002,日本カメラ博物館,一番町25,4,数値地図画像,139.74257921,35.68606398
13101,3,3002,明治大学博物館,神田駿河台1-1,4,数値地図,139.76144674,35.69752990
13101,3,3002,靖國神社遊就館,九段北3-1-1,4,数値地図画像,139.74254834,35.69403811
13102,3,3002,ペンステーション,京橋2-6-21,4,数値地図画像,139.77056889,35.67677961
13102,3,3002,凧の博物館,日本橋1-12-10,4,数値地図画像,139.77562684,35.68253192
13102,3,3002,中央区立築地社会教育会館・郷土資料館,築地4-15-1,3,数値地図画像,139.76819448,35.66633624
13102,3,3002,日本銀行金融研究所貨幣博物館,日本橋本石町1-3-1,0,数値地図画像,139.77179091,35.68537039
13103,3,3002,ＮＨＫ放送博物館,愛宕2-1-1,0,数値地図,139.74829070,35.66379434
13103,3,3002,ユニセフハウス,高輪4-6-12,4,数値地図画像,139.73302939,35.62797018
13103,3,3002,虎屋ギャラリー,赤坂4-9-22,4,数値地図画像,139.73262494,35.67528715
13103,3,3002,厚生労働省産業安全技術館,芝5-35-1,1,数値地図,139.74564433,35.64577681
13103,3,3002,港区立港郷土資料館,芝5-28-4,3,数値地図画像,139.74520266,35.64707666
13103,3,3002,東京海洋大学海洋科学部附属水産資料館,港南4-5-7東京海洋大学品川キャンパス内,0,数値地図画像,139.74764492,35.62697079
13103,3,3002,東京都公文書館,海岸1-13-17,2,数値地図画像,139.76133993,35.65414018
13103,3,3002,物流博物館,高輪4-7-15,4,数値地図画像,139.73228220,35.62905060
13104,3,3002,宮城道雄記念館,中町35,4,数値地図画像,140.56254345,39.59471520
13104,3,3002,高麗博物館,大久保1-12-1,4,数値地図画像,139.70371271,35.69844221
13104,3,3002,国立印刷局博物館（お札と切手の博物館）,市谷本村町9-5,0,数値地図画像,
13104,3,3002,新宿歴史博物館,三栄町22,3,数値地図,136.68983253,35.06597398
13104,3,3002,早稲田大学坪内博士記念演劇博物館,西早稲田1-6-1,4,数値地図,139.71907205,35.70914975
13104,3,3002,秩父宮記念スポーツ博物館,霞ヶ丘町10-2,0,数値地図画像,139.71554862,35.67683938
13104,3,3002,釣り文化資料館,愛住町18-7,4,数値地図画像,139.71948106,35.69084624
13104,3,3002,東京女子医科大学史料室・吉岡彌生記念室,河田町8-1,4,数値地図画像,136.74178558,35.18503549
13104,3,3002,東京消防庁消防防災資料センター消防博物館,四谷3-10,2,数値地図画像,139.71966170,35.68812154
13104,3,3002,平和祈念展示資料館,西新宿2-6-1,0,数値地図画像,139.69259453,35.69142049
13104,3,3002,民音音楽博物館,信濃町8,4,数値地図画像,139.71928973,35.68261937
13104,3,3002,野口英世記念会館展示室,大京町26,4,数値地図画像,139.71633996,35.68333589
13105,3,3002,印刷博物館,水道1-3-3,4,数値地図画像,139.74159505,35.70923087
13105,3,3002,東京大学総合研究博物館,本郷7-3-1,0,数値地図画像,139.76277377,35.71205616
13105,3,3002,東京大学総合研究博物館・小石川分館,白山3-7-1,0,数値地図画像,139.74435006,35.71847994
13105,3,3002,東京都水道歴史館,本郷2-7-1,2,数値地図画像,139.76043822,35.70302926
13105,3,3002,日本女子大学成瀬記念館,目白台2-8-1,4,数値地図,
13105,3,3002,文京ふるさと歴史館,本郷4-9-29,3,数値地図画像,139.75660768,35.70798417
13105,3,3002,野球体育博物館,後楽1-3-61,4,数値地図画像,139.75272149,35.70486136
13106,3,3002,エース世界のバッグ＆ラゲージ館,駒形1-8-10,4,数値地図画像,139.79530271,35.70805736
13106,3,3002,国立科学博物館,上野公園7-20,0,数値地図,139.77678407,35.71562022
13106,3,3002,太皷館,西浅草2-1-1,4,数値地図画像,139.79177761,35.71185694
13106,3,3002,台東区立一葉記念館,西浅草3-25-6,3,数値地図画像,
13106,3,3002,台東区立下町風俗資料館,上野公園2-1,3,数値地図画像,139.77117618,35.71237036
13106,3,3002,皮革産業資料館,橋場1-36-2,0,数値地図画像,139.80824917,35.72404895
13107,3,3002,すみだ郷土文化資料館,向島2-3-5,3,数値地図画像,139.80588158,35.71390440
13107,3,3002,セイコー時計資料館,東向島3-9-7,4,数値地図画像,139.81324875,35.72673785
13107,3,3002,ブレーキ博物館,江東橋1-5-5,4,数値地図画像,139.80939995,35.69414218
13107,3,3002,相撲博物館,横網1-3-28,4,数値地図,139.79360971,35.69721688
13107,3,3002,東京都江戸東京博物館,横網1-4-1,2,数値地図,139.79597365,35.69661144
13107,3,3002,東京都復興記念館,横網2-3-25,2,数値地図画像,139.79613159,35.69912502
13107,3,3002,東武博物館,東向島4-28-16,4,数値地図画像,139.81903922,35.72347987
13108,3,3002,ガスの科学館,豊洲6-3-16,4,数値地図,
13108,3,3002,江東区森下文化センター「田河水泡・のらくろ館」,森下3-12-17,3,数値地図画像,139.80217961,35.68520736
13108,3,3002,江東区深川江戸資料館,白河1-3-28,3,数値地図画像,139.80055269,35.68109086
13108,3,3002,江東区中川船番所資料館,大島9-1-15,3,数値地図画像,139.84628434,35.68767705
13108,3,3002,江東区芭蕉記念館,常盤1-6-3,3,数値地図画像,139.79405565,35.68612668
13108,3,3002,第五福竜丸展示館,夢の島3-2,2,数値地図画像,139.83628072,35.65032592
13108,3,3002,東京大空襲・戦災資料センター,北砂1-5-4,4,数値地図画像,139.82227590,35.68167734
13108,3,3002,日本科学未来館,青海2-41,0,数値地図画像,
13109,3,3002,杉野学園衣裳博物館,上大崎4-6-19,4,数値地図,139.71585582,35.63162222
13109,3,3002,船の科学館,東八潮3-1,4,数値地図,139.77236542,35.62034465
13109,3,3002,品川区立品川歴史館,大井6-11-1,3,数値地図画像,139.73015299,35.59665998
13109,3,3002,翡翠原石館,北品川4-5-12,4,数値地図画像,139.73530452,35.62042119
13110,3,3002,目黒寄生虫館,下目黒4-1-1,4,数値地図画像,139.70665107,35.63169983
13110,3,3002,目黒区守屋教育会館郷土資料室,五本木2-20-17,3,数値地図画像,
13111,3,3002,大田区多摩川台公園古墳展示室,田園調布1-63-1,3,数値地図画像,139.66706202,35.58997937
13111,3,3002,大田区立郷土博物館,南馬込5-11-13,3,数値地図,139.71060485,35.58847150
13112,3,3002,岡本公園民家園,岡本2-19-1,3,数値地図画像,
13112,3,3002,賀川豊彦記念松沢資料館,上北沢3-8-19,4,数値地図画像,139.62589833,35.66793256
13112,3,3002,駒澤大学禅文化歴史博物館,駒沢1-23-1,4,数値地図画像,139.65837461,35.62957394
13112,3,3002,次大夫堀公園民家園,喜多見5-27-14,3,数値地図画像,139.59955212,35.63068934
13112,3,3002,昭和女子大学光葉博物館,太子堂1-7,4,数値地図,139.67591994,35.64365608
13112,3,3002,世田谷区立郷土資料館,世田谷1-29-18,3,数値地図,139.64766125,35.64139177
13112,3,3002,世田谷文学館,南烏山1-10-10,3,数値地図画像,139.60893578,35.66707377
13112,3,3002,東京農業大学「食と農」の博物館,上用賀2-4-28,4,数値地図画像,139.63166269,35.63893335
13112,3,3002,齋田記念館,代田3-23-35,4,数値地図,
13113,3,3002,たばこと塩の博物館,神南1-16-8,4,数値地図画像,139.69952836,35.66327665
13113,3,3002,恵比寿麦酒記念館,恵比寿4-20-1,4,数値地図画像,139.71440562,35.64322921
13113,3,3002,古賀政男音楽博物館,上原3-6-12,4,数値地図,139.68003821,35.66782010
13113,3,3002,電力館,神南1-12-10,4,数値地図画像,139.70092266,35.66373218
13113,3,3002,文化学園服飾博物館,代々木3-22-7,4,数値地図画像,139.69491397,35.68623503
13113,3,3002,明治神宮宝物殿,代々木神園町1-1,4,数値地図,139.69989727,35.67587523
13113,3,3002,國學院大學考古学資料館,東4-10-28,4,数値地図画像,139.71164983,35.65564442
13113,3,3002,國學院大學神道資料館,東4-10-28,4,数値地図画像,139.71164983,35.65564442
13114,3,3002,山崎記念中野区立歴史民俗資料館,江古田4-3-4,3,数値地図画像,139.66504278,35.72437151
13115,3,3002,杉並区立郷土博物館,大宮1-20-8,3,数値地図,139.57769957,35.92171909
13116,3,3002,学習院大学史料館,目白1-5-1,4,数値地図,139.70899474,35.72003991
13116,3,3002,古代オリエント博物館,東池袋3-1-4,4,数値地図,139.72078505,35.72853095
13116,3,3002,切手の博物館,目白1-4-23,4,数値地図,139.70580620,35.71829280
13116,3,3002,豊島区立郷土資料館,西池袋2-37-4,3,数値地図画像,139.70676961,35.72772233
13117,3,3002,紙の博物館,王子1-1-3,4,数値地図,139.73869378,35.74982614
13117,3,3002,渋沢史料館,西ケ原2-16-1,4,数値地図,139.73973260,35.74919012
13117,3,3002,田端文士村記念館,田端6-1-2,4,数値地図画像,
13117,3,3002,北区飛鳥山博物館,王子1-1-3,3,数値地図画像,139.73869378,35.74982614
13118,3,3002,荒川区立荒川ふるさと文化館,南千住6-63-1,3,数値地図画像,139.79541521,35.73746593
13119,3,3002,東京家政大学博物館,加賀1-18-1,4,数値地図,139.72009787,35.75576949
13119,3,3002,板橋区立教育科学館,常盤台4-14-1,3,数値地図画像,
13119,3,3002,板橋区立郷土資料館,赤塚5-35-25,3,数値地図画像,139.64310886,35.78546112
13120,3,3002,唐澤博物館,豊玉北3-5-5,4,数値地図画像,139.66255929,35.73303158
13120,3,3002,練馬区郷土資料室,石神井台1-16-31,3,数値地図画像,139.59938395,35.73642114
13121,3,3002,足立区立郷土博物館,大谷田5-20-1,3,数値地図,139.84142526,35.78443554
13122,3,3002,葛飾区教育資料館,水元4-21-1,3,数値地図画像,139.86388187,35.78798490
13122,3,3002,葛飾区郷土と天文の博物館,白鳥3-25-1,3,数値地図,139.84335397,35.75291192
13123,3,3002,江戸川区郷土資料室,松島1-38-1,3,数値地図画像,130.43397031,33.62628148
13123,3,3002,地下鉄博物館,東葛西6-3-1,4,数値地図,139.87378271,35.66352559
13201,3,3002,八王子市こども科学館（サイエンスドーム八王子）,大横町9-13,3,数値地図画像,139.32780700,35.66484498
13201,3,3002,八王子市郷土資料館,上野町33,3,数値地図,139.32630467,35.65565985
13202,3,3002,国立音楽大学楽器学資料館,柏町5-5-1,4,数値地図画像,139.57145596,35.82737037
13202,3,3002,昭和天皇記念館,緑町3173,1,数値地図画像,139.40788769,35.70335899
13202,3,3002,立川市歴史民俗資料館,富士見町3-12-34,3,数値地図画像,139.38992003,35.69690926
13203,3,3002,成蹊学園史料館,吉祥寺北町3-3-1,4,数値地図画像,139.57336761,35.71158166
13204,3,3002,国際基督教大学博物館・湯浅八郎記念館,大沢3-10-2,4,数値地図画像,139.53082799,35.68655025
13204,3,3002,中近東文化センター付属博物館,大沢3-10-31,4,数値地図画像,139.53387765,35.68877786
13205,3,3002,吉川英治記念館,柚木町1-101-1,4,数値地図画像,139.21308336,35.79631320
13205,3,3002,昭和レトロ商品博物館,住江町65,4,数値地図画像,139.26045888,35.78868410
13205,3,3002,青梅きもの博物館,梅郷4-629,4,数値地図画像,139.22032968,35.78805325
13205,3,3002,青梅市郷土博物館,駒木町1-684,3,数値地図,139.25670382,35.78375400
13205,3,3002,青梅鉄道公園,勝沼2-155,4,数値地図画像,139.26335015,35.79224766
13206,3,3002,ＪＲＡ競馬博物館,日吉町1-1,4,数値地図画像,139.46066950,35.69979421
13206,3,3002,府中市郷土の森博物館,南町6-32,4,数値地図,139.47301715,35.65652994
13207,3,3002,家具の博物館,中神町1148,4,数値地図画像,139.37794560,35.71366534
13208,3,3002,調布市郷土博物館,小島町3-26-2,3,数値地図,139.53619082,35.64689761
13208,3,3002,調布市武者小路実篤記念館,若葉町1-8-30,3,数値地図画像,139.58129118,35.65671030
13209,3,3002,玉川大学教育博物館,玉川学園6-1-1,4,数値地図画像,139.46464048,35.56620963
13209,3,3002,町田市立自由民権資料館,野津田町897,3,数値地図画像,139.45329928,35.58885726
13209,3,3002,町田市立博物館,本町田3562,3,数値地図,139.45111930,35.56735075
